產業別,名稱,公司代號,ROE,EPS,FCF,毛利率,營業利益率,純益率,現金殖利率,高登,總資產周轉率,盈餘成長率,營收年成長率,PBR,PER,每股淨值,權益乘數,股本億元,平均價,股價標準差,股價變異數
電子零組件,艾恩特,3646,0.122074635,1.673333333,3.179487179,0.294670281,0.078152038,0.080100666,0.063207921,0.058278146,0.901701018,-0.004929776,-2.34,2.1372,21.68345324,14.1025641,1.592456302,3.9,29.27540984,1.955579187,3.824289955
電子零組件,健策,3653,0.246207542,20.09333333,11.616619,0.356789441,0.246717615,0.233990545,0.02047784,0.110428057,0.805540341,0.089950217,18.43666667,11.00650157,47.04554865,103.2253521,1.270854941,14.2,1462.831967,357.8350317,128045.9099
電子零組件,新至陞,3679,0.1493352,10.98,10.13756614,0.269078032,0.147920986,0.172277464,0.091849212,0.115212732,0.442389222,0.02336352,-2.643333333,1.61380618,9.218050542,79.11111111,1.850964596,6.3,132.6680328,12.54836088,157.4613607
電子零組件,湧德,3689,0.119518952,5.203333333,8.945314408,0.225955282,0.070587078,0.068297597,0.048664167,0.105923487,1.090006825,0.05725932,-5.48,1.497966021,12.18847352,52.2375,1.444151391,8,94.3704918,8.856804954,78.442994
電子零組件,連展投控,3710,0,-0.883333333,0.324481401,0.19199612,-0.018007632,-0.035800659,0,0,0.820567785,0,0.816666667,1.513322259,0,7.341463415,3.847232294,28.7,10.27180328,1.874043192,3.512037887
電子零組件,定穎投控,3715,0.127584462,3.12,-5.654676259,0.215296531,0.081765239,0.054396588,0.033182845,0.105229621,0.723844216,0.072046776,53.58333333,2.334787129,17.95238095,29.0647482,3.559151264,27.8,63.5807377,18.52330969,343.1130019
電子零組件,科嶠,4542,0.029135381,0.6,-1.791666667,0.338754293,0.023968123,0.024491087,0.024196487,0.004440106,0.497552695,-0.019756381,-4.706666667,3.569551375,963.5,21.59375,2.232337946,3.2,76.09159836,17.10319746,292.5193633
電子零組件,銘鈺,4545,0.076137416,1.85,2.294372294,0.208130946,0.063786268,0.064315167,0.040466949,0.058924758,0.709346667,0.018457809,3.873333333,1.737868526,19.12236287,26.07792208,1.63239473,7.7,41.12028689,9.797282121,95.98673695
電子零組件,聯德控股-KY,4912,0.101496745,5.636666667,-2.059139785,0.237614533,0.081484033,0.062988358,0.019469778,0.08269185,0.70302859,0.063222072,-1.226666667,1.777460317,17.33436533,63,2.112892362,6.2,102.4106557,24.95529272,622.766635
電子零組件,致伸,4915,0.140735503,5.736666667,12.0147346,0.155552847,0.044816594,0.038332671,0.05948941,0.100129679,1.377539592,0.040640269,-5.633333333,1.947914293,15.10338681,43.49780702,2.483329909,45.6,79.59836066,5.629873049,31.69547055
電子零組件,泰鼎-KY,4927,0.037683784,-2.936666667,-3.26272382,0.098531926,-0.03271721,-0.047277942,0.008681686,0.029183014,0.691742782,0.020501328,-5.3,1.29504863,0,34.97938144,2.735514904,19.4,31.83114754,9.204838207,84.72904641
電子零組件,亞電,4939,0.019152364,0.303333333,0.37414966,0.216439339,0.048067712,0.01789252,0.025811503,0.013636676,0.562549388,-0.012174827,-7.416666667,1.36149774,113.2631579,15.80612245,1.767525269,9.8,20.32827869,1.916599437,3.673353403
電子零組件,康控-KY,4943,0,-4.103333333,0.67752235,-0.134269464,-0.436933578,-0.247858222,0,0,0.510773998,0,-20.88333333,5.455125,0,3.418803419,9.359570662,11.7,12.72995902,3.364876006,11.32239053
電子零組件,臻鼎-KY,4958,0.075228505,10.41333333,15.83642598,0.20108144,0.08633046,0.060726557,0.042414118,0.081619625,0.703991911,0.039205507,4.08,0.735733437,12.18821096,160.1938883,1.776738257,94.9,120.992623,23.93670552,572.9658713
電子零組件,亞泰,4974,0.167422741,6.97,8.118721461,0.167234717,0.116317972,0.12468905,0.078176332,0.120106596,0.99952481,0.041930264,3,1.748769912,11.1399177,46.43835616,1.329740706,7.3,96.28237705,13.84269566,191.6202231
電子零組件,榮科,4989,0.028170969,-0.573333333,-0.229468599,-0.008457831,-0.051440704,-0.026915182,0.005254309,0.024038824,1.215730086,0.018784516,-12.55,1.667529654,0,14.05072464,1.258749698,13.8,20.17479508,5.192994446,26.96719132
電子零組件,鑫禾,4999,0.026799037,1.263333333,2.887387387,0.178736445,0.008715405,0.038660183,0.034448283,0.033880903,0.494262803,-0.00056738,-12.93,0.742383602,35.31958763,46.14864865,1.184009406,7.4,29.34897541,4.037067063,16.29791047
電子零組件,立凱-KY,5227,0,-5.486666667,-5.567427053,0.006299982,-0.494838034,-0.599632314,0,0,0.570606351,0,37.87666667,5.018426104,0,7.661764706,1.848081441,6.8,33.37766393,5.468954944,29.90946818
電子零組件,鈺鎧,5228,0.027166531,-0.91,-0.511695906,0.118175401,-0.106944737,-0.082104975,0.004409171,0.023590757,0.405803958,0.019181586,-13.68,1.540540541,0,13.63157895,2.133992806,3.8,15.5852459,6.634644354,44.0185057
電子零組件,邑昇,5291,0.06842014,1.716666667,0.115853659,0.221189659,0.052406049,0.047286194,0.033125155,0.053650211,0.740090981,0.020525055,-11.76333333,1.135158649,69.35897436,23.82926829,1.595528455,4.1,25.0102459,1.408066686,1.982651791
電子零組件,系統,5309,0.118477573,1.386666667,-0.043831832,0.241872878,0.055170959,0.076001165,0.012285322,0.082907774,0.823188269,0.070622452,9.916666667,2.16757382,61.1147541,17.19895288,1.573801917,19.1,42.66168033,9.545830368,91.12287741
電子零組件,美而快,5321,0.103567818,2.096666667,-1.847006161,0.400725813,0.054607176,0.029606401,0.003266933,0.085918371,0.868425462,0.082651439,7.86,4.28692395,2375.333333,16.62264151,4.892061679,5.3,49.67602459,9.726207066,94.59910388
電子零組件,華容,5328,0.040983026,0.426666667,-0.061657033,0.231634495,0.029452566,0.072699013,0.021357332,0.032957063,0.417402131,0.011599731,-6.26,1.377954779,39.74358974,11.24855491,1.252511898,17.3,14.7307377,1.665029402,2.77232291
電子零組件,建榮,5340,0.044129363,0.446666667,0.336752137,0.128111518,0.053813493,0.058376765,0.001319609,0.03801758,0.657110193,0.036697971,15.74333333,4.691142857,64.76923077,10.76923077,1.21013597,19.5,42.42418033,6.136356051,37.65486558
電子零組件,天揚,5345,0,-1.746666667,-1.766203704,-0.904761905,-8.03968254,-6.992307692,0,0,0.057235181,0,-15.88333333,2.476828194,0,8.107142857,1.104575163,2.8,22.95471311,7.950784075,63.21496741
電子零組件,佳總,5355,0,-0.733333333,-0.853413655,-0.151404459,-0.335882909,-0.240323446,0,0,0.34110736,0,-9.483333333,2.065266525,0,5.65060241,1.224086871,16.6,9.520901639,1.199264181,1.438234575
電子零組件,合正,5381,0.049539716,0.36,-1.383911653,0.221138725,0.032599662,0.058218145,0,0.040666927,0.540824645,0.040666927,116.0566667,3.06011655,32.82795699,9.976744186,1.971954426,21.5,22.92397541,3.05547289,9.335914584
電子零組件,高技,5439,0.161117058,4.186666667,2.075268817,0.174923789,0.117105838,0.10440573,0.045906647,0.083480819,0.938085768,0.037574172,8.853333333,3.872396559,28.95726496,26.24731183,1.892033967,9.3,177.6385246,76.1345981,5796.477028
電子零組件,宣德,5457,0.048302282,2.646666667,5.685390457,0.191348586,0.06699188,0.023758518,0.020263713,0.04598869,0.836596795,0.025724978,8.62,0.849724228,24.54782609,66.44508671,2.485308683,17.3,47.42377049,5.994241795,35.9309347
電子零組件,同協,5460,0.005993545,-0.106666667,-0.124293785,0.22784482,-0.055473321,-0.012153303,0,0.005895692,0.405022186,0.005895692,-17.61,1.249836735,70.77272727,12.45762712,1.133471646,5.9,15.05983607,2.003280636,4.013133306
電子零組件,霖宏,5464,0.114359685,2.196666667,6.112676056,0.052025836,-0.093429458,0.11707346,0.048442974,0.094816932,0.232265116,0.046373958,-13.83666667,1.485824487,16.99425287,19.90140845,3.370786517,7.1,25.30102459,2.527248413,6.386984543
電子零組件,瀚宇博,5469,0.069774376,5.683333333,3.486905823,0.230185283,0.140305988,0.063874768,0.049452296,0.091475102,0.558472556,0.042022806,-9.776666667,0.586422018,9.225042301,92.97058824,1.825912869,51,60.01729958,12.34814439,152.4766698
電子零組件,德宏,5475,0,-1.913333333,-0.582677165,-0.076924916,-0.344936469,-0.310140474,0,0,0.278816274,0,-27.39,1.849966667,0,7.086614173,2.19023569,12.7,22.20163934,14.61756221,213.6731249
電子零組件,新華,5481,0,-0.26,0.351515152,0.483523399,-0.213186592,-0.181166496,0,0,0.057199141,0,-1.47,1.005816409,0,18.65151515,1.298993964,6.6,27.8540625,3.050146774,9.303395342
電子零組件,松普,5488,0.021321777,0.206666667,-0.177536232,0.111929845,-0.017047878,0.017446675,0,0.021050708,0.650953603,0.021050708,-9.756666667,1.27772392,1318,10.31521739,1.622844828,9.2,11.2797541,2.028999211,4.116837799
電子零組件,凱崴,5498,0.002404444,0.02,0.387883772,0.030104556,-0.082474509,0.003532679,0.006660077,0.000711568,0.31374018,-0.002269333,-8.523333333,1.244291845,0,10.921875,1.794295383,19.2,13.10815574,4.563342969,20.82409905
