產業別,名稱,公司代號,ROE,EPS,FCF,毛利率,營業利益率,純益率,現金殖利率,高登,總資產周轉率,盈餘成長率,營收年成長率,PBR,PER,每股淨值,權益乘數,股本億元,平均價,股價標準差,股價變異數
電腦及週邊設備,晟銘電,3013,0.117912516,2.03,3.269214249,0.119934428,0.046749949,0.056078425,0.012565671,0.09444564,1.032595348,0.081879969,22.70666667,4.446582734,27.10743802,22.12935323,1.972359201,20.1,128.0987705,20.20981199,408.4365005
電腦及週邊設備,奇鋐,3017,0.261637997,15.7,11.77555458,0.212685026,0.129586829,0.09914666,0.030686865,0.154503607,0.912890296,0.123816742,15.07666667,6.957558331,28.52003772,86.94285714,2.892329737,38.5,696.977459,189.662513,35971.86883
電腦及週邊設備,威強電,3022,0.153484138,8.333333333,2.133709981,0.361754959,0.148418131,0.200733864,0.054424125,0.133393941,0.550060284,0.078969816,4.516666667,1.270943413,9.225917431,63.29943503,1.375580904,17.7,79.94836066,9.311776106,86.70917426
電腦及週邊設備,建碁,3046,0.232227045,3.333333333,3.941905069,0.07950618,0.028237982,0.05760774,0.037570075,0.119272341,2.263639927,0.081702266,40.71333333,3.056254826,15.89817232,19.92307692,1.943358058,7.8,48.93770492,4.612761023,21.27756426
電腦及週邊設備,喬鼎,3057,0.001192606,-1.053333333,-0.135343619,0.351256744,-0.14455521,-0.151052417,0,0.001145475,0.551539965,0.001145475,-14.14,1.997263682,0,6.483870968,1.668661182,9.3,10.9210084,1.334259633,1.780248768
電腦及週邊設備,銘異,3060,0.012522952,-0.276666667,1.096618357,0.110290264,-0.036307386,-0.014175969,0.013978131,0.011073421,0.701155277,0.001534999,-2.663333333,1.331096346,58.06666667,19.63043478,1.657039021,13.8,23.63155738,2.539018157,6.446613202
電腦及週邊設備,協禧,3071,0.082674878,1.366666667,2.563636364,0.292760571,0.055066749,0.057999518,0.039697099,0.051080754,0.678777493,0.011383655,0.21,1.870334686,41.39506173,17.92727273,2.072251309,11,23.84733607,4.463715521,19.92475625
電腦及週邊設備,艾訊,3088,0.180822615,7.126666667,4.137938696,0.354735489,0.127393515,0.108545971,0.04699893,0.128943334,1.061442895,0.081944403,11.55,2.035431862,12.42629482,45.97058824,1.58765321,10.2,103.247541,18.75503428,351.7513108
電腦及週邊設備,順達,3211,0.153267285,9.383333333,12.9831912,0.096997242,0.046548317,0.085028964,0.085490609,0.103613877,0.955039801,0.018123267,-12.36,1.549342535,6.213757817,70.54605263,1.708472803,15.2,210.3545082,73.25685083,5366.566194
電腦及週邊設備,茂訊,3213,0.151411097,6.726666667,5.062146893,0.274083712,0.160860777,0.137990226,0.074544812,0.110164955,0.827274074,0.035620143,0.763333333,1.708320634,11.25592417,55.61016949,1.319232745,5.9,103.2409836,14.39767788,207.2931282
電腦及週邊設備,緯創,3231,0.103014062,4.733333333,6.69644479,0.076840549,0.032213315,0.014229132,0.053353588,0.086943672,2.02975304,0.033590084,7.806666667,1.683506277,18.03273322,65.44674142,3.302926971,285.4,112.4672131,9.591696878,92.00064899
電腦及週邊設備,東碩,3272,0.038709677,-1.7,0.131754706,0.085213546,-0.056645877,-0.034358033,0.016153554,0.038160284,0.777595585,0.02200673,-5.87,1.207390181,0,25.37704918,2.907627937,6.1,26.59959016,2.78492411,7.7558023
電腦及週邊設備,廣寰科,3287,0.076172974,1.096666667,1.787878788,0.284925822,0.029026614,0.075191314,0.025860576,0.046578876,0.714034832,0.0207183,8.473333333,2.597754801,17.00851064,15.38636364,1.48957529,4.4,35.17110656,3.208450007,10.29415145
電腦及週邊設備,加百裕,3323,0.028843644,-0.543333333,6.042427011,0.080564688,-0.010092706,-0.009153581,0.019931226,0.026796465,1.257589372,0.012868889,-26.47,0.935140045,0,29.68539326,2.117807154,8.9,35.07684426,6.66708075,44.44996572
電腦及週邊設備,旭品,3325,0,-0.69,-1.050904393,0.059828394,-0.092707404,-0.043082405,0,0,0.715679604,0,3.06,2.504385129,0,11.65555556,1.898055951,9,19.08627049,2.474983066,6.125541178
電腦及週邊設備,寶德,3349,0,-1.573333333,-1.62457265,0.146549947,-0.186507674,-0.119810322,0,0,0.67946351,0,-22.59666667,3.114191419,0,7.575,1.77265745,4,18.50778689,4.998757132,24.98757286
電腦及週邊設備,融程電,3416,0.18066265,6.63,3.540698134,0.384782781,0.202366086,0.188419908,0.048136257,0.086822558,0.706635053,0.038686301,7.226666667,3.353555887,20.23011364,42.46835443,1.33951098,7.9,153.7868852,17.87230863,319.4194158
電腦及週邊設備,安勤,3479,0.169809363,7.71,0.717208502,0.254758059,0.101900273,0.075010478,0.062783283,0.1115669,1.432223414,0.048783616,18.91333333,2.089501045,15.99562044,52.43835616,1.677107449,7.3,100.8631148,7.814608045,61.0680989
電腦及週邊設備,力致,3483,0.157088899,7.566666667,5.020331989,0.206457964,0.048906774,0.075515021,0.043116274,0.107635442,0.993481316,0.064519168,5.07,2.836544118,19.99153567,58.28571429,2.082674095,8.4,131.6872951,19.6631165,386.6381507
電腦及週邊設備,誠研,3494,0,-1.513333333,-0.978310117,0.063757063,-0.353814653,-0.322516555,0,0,0.345105742,0,27.58,1.046697674,0,7.413793103,2.725828729,11.6,14.55012658,3.47994076,12.1099877
電腦及週邊設備,華擎,3515,0.119305557,8.923333333,9.966280155,0.202581014,0.064927373,0.055480592,0.03805065,0.0647589,1.30954982,0.02670825,10.87666667,2.688309207,21.66318786,84.93442623,1.767316186,12.2,234.7766393,35.68573258,1273.47151
電腦及週邊設備,鴻翊,3521,0,-1.836666667,-0.317435897,0.041285767,-0.552721004,-0.451406569,0,0,0.183399804,0,-20.73333333,1.198207547,0,16.30769231,1.522170057,7.8,14.65143443,2.887119827,8.335460897
